time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837020.19999909,0.02421959,0.00349894,0.00000294,69317.00000000,0.01675073,0.000000,0.000000
1577837020.29983687,0.02422399,0.00529099,0.00000449,69332.00000000,0.02600588,0.000000,0.000000
1577837020.39969206,0.02421882,0.00429532,0.00000369,69359.00000000,0.02212034,0.000000,0.000000
1577837020.49952698,0.02421764,0.00450146,0.00000419,69426.00000000,0.02373717,0.000000,0.000000
1577837020.59934902,0.02419813,0.00321207,0.00000276,69476.00000000,0.01623763,0.000000,0.000000
1577837020.69999099,0.02423277,0.00421597,0.00000764,69505.00000000,0.03840221,0.000000,0.000000
1577837020.79982376,0.02421039,0.00287889,0.00000281,69531.00000000,0.01503300,0.000000,0.000000
1577837020.89966798,0.02421811,0.00426890,0.00000513,69551.00000000,0.02738905,0.000000,0.000000
1577837020.99950218,0.02420260,0.00346931,0.00000319,69552.00000000,0.01781375,0.000000,0.000000
1577837021.09934115,0.02419667,0.00350795,0.00000418,69586.00000000,0.02174862,0.000000,0.000000
1577837021.19997501,0.02418363,0.00364084,0.00000353,69611.00000000,0.01878292,0.000000,0.000000
1577837021.29982591,0.02418856,0.00364221,0.00000513,69624.00000000,0.02623617,0.000000,0.000000
1577837021.39965796,0.02418028,0.00333880,0.00000388,69655.00000000,0.02073401,0.000000,0.000000
1577837021.49948287,0.02418499,0.00346331,0.00000512,69696.00000000,0.02615081,0.000000,0.000000
1577837021.59932113,0.02416574,0.00323386,0.00000290,69726.00000000,0.01611714,0.000000,0.000000
1577837021.69996214,0.02416471,0.00453659,0.00000450,69734.00000000,0.02373308,0.000000,0.000000
1577837021.79979491,0.02415473,0.00410649,0.00000365,69755.00000000,0.01996676,0.000000,0.000000
1577837021.89964008,0.02414122,0.00362571,0.00000356,69781.00000000,0.01845337,0.000000,0.000000
1577837021.99947500,0.02415822,0.00417361,0.00000602,69800.00000000,0.03133041,0.000000,0.000000
1577837022.09931111,0.02414739,0.00281177,0.00000387,69795.00000000,0.01956600,0.000000,0.000000
1577837022.19993186,0.02412802,0.00318881,0.00000309,69804.00000000,0.01591660,0.000000,0.000000
1577837022.29976702,0.02413101,0.00417562,0.00000518,69838.00000000,0.02539955,0.000000,0.000000
1577837022.39960694,0.02410700,0.00269721,0.00000308,69892.00000000,0.01388178,0.000000,0.000000
1577837022.49946189,0.02408790,0.00313069,0.00000360,69881.00000000,0.01593146,0.000000,0.000000
1577837022.59929800,0.02406740,0.00290885,0.00000357,69910.00000000,0.01529155,0.000000,0.000000
1577837022.69993806,0.02405811,0.00327797,0.00000465,69918.00000000,0.02007523,0.000000,0.000000
1577837022.79978395,0.02403938,0.00234894,0.00000413,69918.00000000,0.01598283,0.000000,0.000000
1577837022.89961600,0.02401822,0.00220625,0.00000339,69928.00000000,0.01490028,0.000000,0.000000
1577837022.99945807,0.02399830,0.00205039,0.00000390,69924.00000000,0.01539039,0.000000,0.000000
1577837023.09929013,0.02397529,0.00201044,0.00000382,69929.00000000,0.01401388,0.000000,0.000000
1577837023.19992399,0.02397571,0.00274826,0.00000730,69938.00000000,0.02415691,0.000000,0.000000
